epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
37,6641.23,1.29852,2.25383,1.4178,0.55305,0.58923,0.55096,0.35886,1.46229,2.10022,1.51144,0.00965239,0.00965239,0.00965239,14.11943,15.334555
38,6896.71,1.29884,2.29913,1.41702,0.58215,0.65043,0.62625,0.37301,1.46373,2.11038,1.48723,0.00963306,0.00963306,0.00963306,14.16596,15.3192
39,7147.3,1.31215,2.29314,1.42701,0.6153,0.62625,0.64865,0.35563,1.46105,2.17537,1.54026,0.00961322,0.00961322,0.00961322,14.27478,15.443635
40,7392.24,1.28877,2.21278,1.39459,0.57607,0.62027,0.59666,0.36787,1.58716,2.15542,1.5562,0.00959289,0.00959289,0.00959289,13.97044,16.39342
41,7636.58,1.29353,2.24901,1.41048,0.61246,0.6545,0.68706,0.39866,1.47634,2.10476,1.51955,0.00957205,0.00957205,0.00957205,14.066205,15.456635
42,7880.62,1.28218,2.19626,1.39693,0.61608,0.67736,0.65751,0.38036,1.45243,2.26418,1.52517,0.00955072,0.00955072,0.00955072,13.908005,15.44516
43,8127.02,1.27274,2.2233,1.38397,0.6847,0.727,0.71265,0.40725,1.38703,2.00889,1.44009,0.00952889,0.00952889,0.00952889,13.844805,14.57175
44,8380.56,1.26325,2.16897,1.38522,0.62448,0.66603,0.66917,0.39482,1.38096,2.02976,1.44068,0.00950658,0.00950658,0.00950658,13.721175,14.54798
45,8634.32,1.26554,2.19118,1.37554,0.67918,0.64123,0.70889,0.41977,1.40787,2.01613,1.44076,0.00948377,0.00948377,0.00948377,13.74604,14.736295
46,8884.72,1.24369,2.13091,1.36887,0.71636,0.65483,0.71963,0.42523,1.36908,2.01073,1.43153,0.00946048,0.00946048,0.00946048,13.51189,14.426125
47,9143.22,1.2712,2.21543,1.37575,0.72319,0.73217,0.73448,0.39726,1.41374,2.10804,1.46265,0.00943671,0.00943671,0.00943671,13.813055,14.905065
48,9393.53,1.24246,2.14166,1.36678,0.60638,0.60113,0.61997,0.39413,1.44219,2.03333,1.47814,0.00941245,0.00941245,0.00941245,13.51028,15.066965
49,9643.06,1.24443,2.15589,1.36678,0.65638,0.65413,0.66354,0.37544,1.50099,2.11537,1.51179,0.00938772,0.00938772,0.00938772,13.539285,15.64048
50,9899.83,1.25285,2.17658,1.36896,0.63306,0.65494,0.66894,0.40308,1.39024,1.98284,1.41566,0.00936251,0.00936251,0.00936251,13.626395,14.53313
51,10146.6,1.22958,2.10966,1.34934,0.59882,0.68389,0.68896,0.4072,1.40154,1.97245,1.43446,0.00933683,0.00933683,0.00933683,13.35552,14.63569
52,10394.4,1.24205,2.10774,1.35776,0.6396,0.6147,0.62331,0.39992,1.3842,2.06984,1.4153,0.00931067,0.00931067,0.00931067,13.459755,14.57429
53,10648.5,1.23294,2.10454,1.34623,0.66078,0.67546,0.67254,0.39768,1.41544,1.93597,1.43753,0.00928405,0.00928405,0.00928405,13.370935,14.708065
54,10895.1,1.22703,2.07469,1.34354,0.63517,0.62338,0.63837,0.39532,1.42937,1.95663,1.43695,0.00925697,0.00925697,0.00925697,13.292725,14.83233
55,11140.3,1.24432,2.09533,1.3468,0.70229,0.65271,0.69179,0.40836,1.38529,1.99025,1.44343,0.00922942,0.00922942,0.00922942,13.44793,14.54507
56,11384.8,1.22963,2.0788,1.34412,0.60636,0.65408,0.62001,0.38234,1.42172,2.04486,1.4247,0.00920142,0.00920142,0.00920142,13.317205,14.84481
57,11633.4,1.23546,2.08957,1.34845,0.73317,0.73342,0.74629,0.43352,1.3197,1.91701,1.35947,0.00917296,0.00917296,0.00917296,13.378195,13.853965
58,11898.2,1.21504,2.05923,1.34017,0.7451,0.74861,0.77719,0.44617,1.33186,1.85749,1.3707,0.00914405,0.00914405,0.00914405,13.182285,13.90249
59,12151.2,1.20464,2.03547,1.33792,0.67355,0.68177,0.68317,0.41044,1.40734,1.92233,1.4284,0.00911469,0.00911469,0.00911469,13.07715,14.61998
60,12409,1.21573,2.05496,1.35192,0.64548,0.66901,0.67304,0.41077,1.35921,1.93678,1.41423,0.00908488,0.00908488,0.00908488,13.200815,14.2522
61,12664.4,1.20785,2.02408,1.32389,0.70947,0.72184,0.73321,0.43168,1.40795,1.86858,1.41159,0.00905463,0.00905463,0.00905463,13.06879,14.54559
62,12920,1.2016,1.9978,1.32899,0.70066,0.74707,0.73384,0.42479,1.35713,1.95989,1.38291,0.00902395,0.00902395,0.00902395,13.003285,14.21273
63,13175,1.20984,2.05414,1.33386,0.66618,0.68332,0.71078,0.42119,1.37448,1.97228,1.37471,0.00899282,0.00899282,0.00899282,13.12873,14.342945
64,13431.1,1.20421,2.03726,1.3302,0.78008,0.72106,0.76315,0.45223,1.31597,1.84615,1.37298,0.00896127,0.00896127,0.00896127,13.064135,13.775395
65,13683,1.20912,2.04041,1.33193,0.77168,0.76963,0.79981,0.43103,1.40376,1.80111,1.41014,0.00892928,0.00892928,0.00892928,13.106705,14.44452
66,13941.1,1.20718,2.02431,1.32891,0.79816,0.77957,0.81374,0.45938,1.33979,1.80526,1.3913,0.00889687,0.00889687,0.00889687,13.071525,13.940635
67,14193.8,1.18467,1.96642,1.31104,0.707,0.76237,0.75578,0.45653,1.30442,1.78448,1.35164,0.00886404,0.00886404,0.00886404,12.818005,13.59509
68,14445.5,1.19137,1.99859,1.31385,0.73618,0.69073,0.74114,0.45141,1.32868,1.87321,1.3595,0.00883079,0.00883079,0.00883079,12.90464,13.87756
69,14690.2,1.18342,1.9874,1.31434,0.72509,0.66547,0.72996,0.43784,1.33795,1.85039,1.37399,0.00879713,0.00879713,0.00879713,12.83456,13.946
70,14946.7,1.17097,1.94972,1.30859,0.71625,0.73854,0.74973,0.45319,1.33655,1.86524,1.36248,0.00876305,0.00876305,0.00876305,12.69488,13.933085
71,15191.6,1.16963,1.94465,1.29283,0.73665,0.68472,0.74928,0.43614,1.35499,1.9146,1.38757,0.00872857,0.00872857,0.00872857,12.65612,14.15838
72,15435.3,1.17597,1.97226,1.31548,0.63736,0.76994,0.75233,0.44985,1.31195,1.85019,1.35176,0.00869368,0.00869368,0.00869368,12.765255,13.717455
73,15678.4,1.16052,1.92422,1.28394,0.67346,0.72717,0.71863,0.44263,1.3521,1.96534,1.38014,0.00865839,0.00865839,0.00865839,12.55403,14.1763
74,15924.8,1.18568,1.9567,1.30747,0.773,0.77459,0.79306,0.45561,1.32627,1.8307,1.34543,0.00862271,0.00862271,0.00862271,12.810505,13.79587
75,16170.9,1.18639,1.95879,1.29809,0.67668,0.73149,0.71705,0.45111,1.30837,1.81988,1.33831,0.00858664,0.00858664,0.00858664,12.80385,13.64012
76,16415,1.18218,1.93195,1.29312,0.67879,0.70735,0.71165,0.44264,1.33004,1.80433,1.36249,0.00855018,0.00855018,0.00855018,12.73798,13.823365
77,16660.1,1.17471,1.94301,1.30496,0.68238,0.65146,0.73212,0.43836,1.35708,1.89851,1.34827,0.00851333,0.00851333,0.00851333,12.710775,14.099015
78,16902.9,1.15284,1.92557,1.28729,0.66844,0.7954,0.74388,0.45142,1.2875,1.84326,1.33084,0.00847611,0.00847611,0.00847611,12.502805,13.49577
79,17142.9,1.17435,1.91529,1.30335,0.66022,0.72811,0.71337,0.4326,1.33977,1.75228,1.35079,0.00843851,0.00843851,0.00843851,12.67794,13.82674
80,17384.4,1.15664,1.90071,1.28613,0.75684,0.74832,0.75569,0.46047,1.27895,1.76999,1.33329,0.00840054,0.00840054,0.00840054,12.504705,13.36205
81,17627,1.15592,1.89273,1.29143,0.71905,0.72579,0.71694,0.44648,1.32469,1.85397,1.33384,0.0083622,0.0083622,0.0083622,12.499275,13.789905
82,17870.8,1.15144,1.86025,1.27617,0.75198,0.78542,0.77741,0.46588,1.29981,1.78583,1.33427,0.00832349,0.00832349,0.00832349,12.410305,13.53581
83,18115.4,1.12735,1.85784,1.27341,0.6821,0.75234,0.73338,0.43753,1.34984,1.77912,1.33722,0.00828443,0.00828443,0.00828443,12.22308,13.90875
84,18356.9,1.13738,1.88007,1.2693,0.83125,0.80139,0.86545,0.496,1.2863,1.7579,1.32542,0.00824502,0.00824502,0.00824502,12.31437,13.39328
85,18598.2,1.15625,1.88103,1.27644,0.76537,0.69964,0.76034,0.46363,1.31042,1.78227,1.3272,0.00820525,0.00820525,0.00820525,12.467565,13.60122
86,18839.7,1.14286,1.85198,1.28019,0.82636,0.76881,0.82804,0.47164,1.32778,1.72412,1.34202,0.00816514,0.00816514,0.00816514,12.343715,13.6955
87,19081.9,1.1569,1.89189,1.28007,0.73127,0.74822,0.76666,0.44581,1.32905,1.82881,1.33419,0.00812468,0.00812468,0.00812468,12.488745,13.79797
88,19327.3,1.13846,1.8514,1.2768,0.71954,0.69637,0.73294,0.45058,1.32954,1.72496,1.32991,0.00808389,0.00808389,0.00808389,12.30505,13.691375
89,19568.4,1.13663,1.84945,1.27857,0.80583,0.7164,0.77412,0.46132,1.29824,1.76203,1.33512,0.00804277,0.00804277,0.00804277,12.29203,13.50151
90,19812,1.14602,1.87837,1.2826,0.75407,0.72665,0.75934,0.44506,1.36373,1.76868,1.36424,0.00800131,0.00800131,0.00800131,12.39742,14.043015
91,20058.3,1.14663,1.84303,1.26439,0.7496,0.73244,0.76358,0.46801,1.29922,1.71504,1.31807,0.00795954,0.00795954,0.00795954,12.33934,13.436295
92,20300.2,1.12409,1.80548,1.26648,0.82525,0.80655,0.83675,0.48543,1.28258,1.73141,1.28725,0.00791744,0.00791744,0.00791744,12.135875,13.281635
93,20545,1.12791,1.8274,1.26286,0.69229,0.69919,0.69648,0.43509,1.3571,1.72322,1.33757,0.00787503,0.00787503,0.00787503,12.181015,13.907825
94,20789.1,1.13298,1.82479,1.26583,0.72558,0.71765,0.74139,0.45942,1.3096,1.73181,1.31669,0.00783231,0.00783231,0.00783231,12.220885,13.528845
95,21030.9,1.1131,1.80284,1.24946,0.74605,0.71627,0.74864,0.46194,1.30043,1.6882,1.30214,0.00778929,0.00778929,0.00778929,12.02528,13.394635
96,21280.2,1.13515,1.82794,1.2557,0.79809,0.8005,0.82963,0.46838,1.2912,1.70056,1.30602,0.00774596,0.00774596,0.00774596,12.225115,13.34359
97,21526,1.12215,1.81057,1.26006,0.78009,0.82296,0.83565,0.48237,1.28374,1.66901,1.2923,0.00770234,0.00770234,0.00770234,12.116785,13.23551
98,21772.7,1.11651,1.79341,1.25663,0.75154,0.82767,0.80983,0.46163,1.32092,1.72655,1.31107,0.00765843,0.00765843,0.00765843,12.05218,13.600055
99,22014.9,1.12379,1.7935,1.25735,0.76118,0.74318,0.7629,0.47167,1.31779,1.71643,1.29944,0.00761423,0.00761423,0.00761423,12.10795,13.549015
100,22262.6,1.11989,1.80846,1.25865,0.80529,0.78571,0.82498,0.48032,1.30715,1.73381,1.30097,0.00756976,0.00756976,0.00756976,12.09561,13.48889
101,22520,1.13115,1.79601,1.25355,0.76868,0.78243,0.78791,0.48389,1.25173,1.67806,1.29003,0.007525,0.007525,0.007525,12.15996,13.00108
102,22774.4,1.08289,1.73344,1.23452,0.70801,0.86012,0.79274,0.47613,1.27167,1.64818,1.27673,0.00747997,0.00747997,0.00747997,11.706895,13.1008
103,23024.3,1.10659,1.76283,1.23948,0.80321,0.79989,0.84562,0.50456,1.23745,1.61633,1.26944,0.00743468,0.00743468,0.00743468,11.921475,12.801365
104,23278.7,1.12423,1.79909,1.24798,0.79559,0.75288,0.78119,0.45897,1.31335,1.69525,1.32409,0.00738913,0.00738913,0.00738913,12.102785,13.53151
105,23533.1,1.129,1.83106,1.25032,0.76766,0.83416,0.85761,0.50044,1.27379,1.65269,1.28754,0.00734332,0.00734332,0.00734332,12.17404,13.137425
106,23786.8,1.09822,1.74805,1.24256,0.72106,0.81478,0.75792,0.46281,1.29793,1.7047,1.30243,0.00729725,0.00729725,0.00729725,11.84854,13.39282
107,24042.2,1.11145,1.76422,1.23845,0.83395,0.78198,0.85871,0.50651,1.27375,1.69361,1.28704,0.00725094,0.00725094,0.00725094,11.95777,13.177295
108,24298.8,1.12771,1.81067,1.24885,0.77182,0.79836,0.81639,0.48046,1.28549,1.65428,1.28332,0.00720439,0.00720439,0.00720439,12.14177,13.220435
109,24554.3,1.08675,1.72612,1.23401,0.79971,0.82203,0.8806,0.51699,1.23964,1.62647,1.26189,0.00715761,0.00715761,0.00715761,11.72776,12.816605
110,24808.1,1.09342,1.73991,1.23623,0.75986,0.8145,0.83002,0.48817,1.28178,1.65249,1.28148,0.00711059,0.00711059,0.00711059,11.794905,13.18806
111,25064.1,1.10566,1.73899,1.23786,0.79567,0.85762,0.85294,0.50564,1.26015,1.64727,1.27614,0.00706335,0.00706335,0.00706335,11.88823,13.012605
112,25322,1.09722,1.73607,1.24234,0.79809,0.82902,0.84407,0.48945,1.26319,1.64459,1.26952,0.00701588,0.00701588,0.00701588,11.82873,13.022795
113,25579.3,1.10922,1.75798,1.23237,0.79015,0.78745,0.83064,0.49456,1.2839,1.69727,1.27263,0.0069682,0.0069682,0.0069682,11.925685,13.235465
114,25835.7,1.10052,1.75324,1.23156,0.82069,0.79045,0.82652,0.48068,1.29737,1.65447,1.28835,0.00692031,0.00692031,0.00692031,11.85448,13.31727
115,26092.7,1.11879,1.76003,1.23873,0.82011,0.77317,0.83214,0.49367,1.29174,1.71578,1.27655,0.00687222,0.00687222,0.00687222,12.00905,13.318655
116,26348.4,1.09176,1.73034,1.23363,0.72762,0.74819,0.77223,0.48059,1.25579,1.6095,1.25043,0.00682392,0.00682392,0.00682392,11.768985,12.90357
117,26603.6,1.08449,1.7187,1.23134,0.82312,0.83574,0.86415,0.50173,1.26756,1.62902,1.27188,0.00677543,0.00677543,0.00677543,11.699385,13.04354
118,26865.1,1.08426,1.71378,1.22934,0.78086,0.80964,0.8177,0.49621,1.26217,1.60812,1.26517,0.00672675,0.00672675,0.00672675,11.68974,12.97215
