epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
37,4329.3,1.39076,6.82336,1.47454,0.61549,0.50098,0.53291,0.32535,1.52332,6.65825,1.44826,0.00965239,0.00965239,0.00965239,19.46587,51.39961359
38,4433.29,1.39407,6.73547,1.4799,0.54353,0.58028,0.55506,0.31742,1.68509,7.07407,1.61658,0.00963306,0.00963306,0.00963306,19.410845,54.68655459
39,4538.29,1.38027,6.69169,1.45996,0.49034,0.55912,0.51823,0.29989,1.78776,7.16047,1.62521,0.00961322,0.00961322,0.00961322,19.233655,55.34315483
40,4643.94,1.37621,6.64667,1.45385,0.51331,0.51681,0.50971,0.29877,1.80544,7.20412,1.61706,0.00959289,0.00959289,0.00959289,19.14902,55.66234934
41,4748.48,1.37881,6.59403,1.44949,0.50847,0.54679,0.53196,0.31584,1.61461,6.39187,1.49145,0.00957205,0.00957205,0.00957205,19.10934,49.44483308
42,4853.25,1.36591,6.62495,1.45377,0.69403,0.5803,0.58239,0.30541,1.69658,6.77942,1.5848,0.00955072,0.00955072,0.00955072,19.04993,52.44477608
43,4956.84,1.39483,6.73549,1.46092,0.6139,0.57174,0.52645,0.29282,1.82881,7.14102,1.6216,0.00952889,0.00952889,0.00952889,19.388095,55.19354334
44,5061.61,1.34825,6.51408,1.44628,0.68342,0.5757,0.59027,0.34268,1.58698,6.4936,1.59086,0.00950658,0.00950658,0.00950658,18.795375,50.30711987
45,5168.19,1.3452,6.4802,1.43827,0.66022,0.60949,0.59795,0.35805,1.49175,6.48399,1.44344,0.00948377,0.00948377,0.00948377,18.726605,50.08759066
46,5272.27,1.35321,6.50512,1.44128,0.66393,0.46395,0.51926,0.29931,1.72908,9.01428,1.67347,0.00946048,0.00946048,0.00946048,18.816115,69.29476072
47,5375.92,1.35064,6.4854,1.42227,0.58324,0.58372,0.58279,0.34685,1.57365,6.66771,1.48388,0.00943671,0.00943671,0.00943671,18.748605,51.50586007
48,5480.67,1.31813,6.33638,1.41979,0.52119,0.62711,0.5677,0.33986,1.54164,6.66521,1.44965,0.00941245,0.00941245,0.00941245,18.35204,51.45284368
49,5586.93,1.33116,6.30063,1.40201,0.65282,0.5483,0.56971,0.34031,1.61566,6.65766,1.48053,0.00938772,0.00938772,0.00938772,18.387345,51.42706158
50,5691.82,1.32783,6.34962,1.41698,0.54612,0.58807,0.55593,0.32355,1.66842,6.74463,1.56643,0.00936251,0.00936251,0.00936251,18.433815,52.16519877
51,5797.02,1.3023,6.26758,1.40342,0.50108,0.58384,0.57819,0.34058,1.55781,6.1607,1.42492,0.00933683,0.00933683,0.00933683,18.13996,47.64417525
52,5900.71,1.29362,6.18112,1.40775,0.56122,0.547,0.55259,0.346,1.56399,6.51267,1.44446,0.00931067,0.00931067,0.00931067,17.994895,50.30345101
53,6005.39,1.32328,6.25184,1.40106,0.70816,0.61921,0.62716,0.36674,1.45514,6.05564,1.38624,0.00928405,0.00928405,0.00928405,18.27803,46.81746608
54,6111.92,1.30499,6.1557,1.39135,0.58026,0.5757,0.60083,0.35373,1.50943,6.09989,1.41865,0.00925697,0.00925697,0.00925697,18.03015,47.18171046
55,6215.97,1.29666,6.13878,1.38401,0.72566,0.6044,0.6083,0.36029,1.4725,5.94266,1.39654,0.00922942,0.00922942,0.00922942,17.939745,45.98033413
56,6335.9,1.29936,6.18515,1.39591,0.71497,0.63447,0.64475,0.36854,1.50737,6.51712,1.42353,0.00920142,0.00920142,0.00920142,18.024215,50.31573213
